,RegionID,SizeRank,RegionName,RegionType,StateName,31-01-2018,28-02-2018,31-03-2018,30-04-2018,31-05-2018,30-06-2018,31-07-2018,31-08-2018,30-09-2018,31-10-2018,30-11-2018,31-12-2018,31-01-2019,28-02-2019,31-03-2019,30-04-2019,31-05-2019,30-06-2019,31-07-2019,31-08-2019,30-09-2019,31-10-2019,30-11-2019,31-12-2019,31-01-2020,29-02-2020,31-03-2020,30-04-2020,31-05-2020,30-06-2020,31-07-2020,31-08-2020,30-09-2020,31-10-2020,30-11-2020,31-12-2020,31-01-2021,28-02-2021,31-03-2021,30-04-2021,31-05-2021,30-06-2021,31-07-2021,31-08-2021,30-09-2021,31-10-2021,30-11-2021,31-12-2021
31,394775,31,"Las Vegas, NV",Msa,NV,290435.0,292135.0,295135.0,306300.0,324500.0,341500.0,349500.0,347967.0,341300,333297,324963,321597,318233,314933,312300,312833,316167,320498,323332,324332,322633,320933,319933,319967,321558,325892,334225,335667,333300,329933,334900,341267,344633.0,346333.0,346963.0,346963.0,345629.0,345000.0,353333.0,371296.0,396296.0,416296.0,426667.0,435000.0,444322.0,456988.0,466988.0,477667.0
32,394492,32,"Columbus, OH",Msa,OH,254267.0,268633.0,285300.0,302630.0,311630.0,316997.0,315300.0,306967.0,294933,283267,274867,268233,264900,269967,286800,306800,320133,325933,325967,320633,309666,295966,286266,280600,282600,292267,306233,316233,326567,336567,344933,341600,329967.0,321300.0,317967.0,318967.0,317633.0,320967.0,329116.0,339738.0,343102.0,338919.0,332963.0,327767.0,319467.0,312463.0,312463.0,319963.0
33,394705,33,"Indianapolis, IN",Msa,IN,210500.0,215331.0,227298.0,251631.0,272508.0,284175.0,279175.0,269633.0,259633,249600,239900,232933,229633,234667,248300,266633,281600,286600,284900,279896,274929,269929,264633,257967,256330,261163,272830,282800,291600,302233,310600,315600,309630.0,299597.0,286963.0,278600.0,275267.0,277900.0,284233.0,292263.0,295637.0,296568.0,293538.0,293532.0,293300.0,293333.0,293333.0,294998.0
34,395059,34,"San Jose, CA",Msa,CA,1071296.0,1104629.0,1154629.0,1208333.0,1245000.0,1261333.0,1244333.0,1199328.0,1149662,1116262,1082896,1048896,1015592,1031963,1065963,1113000,1139333,1156000,1143448,1117377,1100710,1099595,1096333,1071626,1071293,1106622,1164662,1191662,1192667,1209333,1239000,1256000,1255983.0,1248550.0,1248550.0,1231567.0,1216296.0,1216296.0,1233629.0,1250333.0,1266967.0,1283298.0,1295965.0,1279332.0,1263000.0,1250324.0,1233287.0,1199620.0
35,394355,35,"Austin, TX",Msa,TX,373635.0,375550.0,380031.0,384897.0,386367.0,386399.0,383178.0,376891.0,370443,365607,362367,357853,354948,356577,363798,373161,379606,377221,368818,359472,353020,349484,347517,344296,344619,348810,359681,367500,375914,385999,397848,407842,414344.0,419760.0,424019.0,424887.0,425694.0,432801.0,448297.0,471663.0,488330.0,501667.0,511667.0,518333.0,524015.0,526015.0,529715.0,532367.0
36,395194,36,"Virginia Beach, VA",Msa,VA,257776.0,257454.0,260322.0,264783.0,270222.0,273779.0,276109.0,276141.0,275836,273550,271909,270139,270976,273904,278893,284494,288002,289579,289579,289579,289289,289000,289000,289289,289579,289608,292803,296858,303266,308472,314073,317291,316937.0,315939.0,312423.0,307817.0,302467.0,299767.0,301467.0,306300.0,309663.0,309663.0,304997.0,301633.0,299967.0,299966.0,299999.0,299999.0
37,394902,37,"Nashville, TN",Msa,TN,373229.0,374563.0,376896.0,379600.0,379633.0,377966.0,374300.0,367933.0,362967,359747,358080,356380,354933,354933,356600,359930,364630,367963,367592,364558,361225,359600,357870,355900,352900,352997,354967,358297,363130,368163,374800,378267,381567.0,382233.0,381933.0,380267.0,381567.0,390233.0,400597.0,413663.0,425768.0,440072.0,451734.0,454629.0,453329.0,456333.0,462967.0,468800.0
38,395005,38,"Providence, RI",Msa,RI,345871.0,347654.0,353073.0,359925.0,365170.0,366883.0,367058.0,367058.0,367058,365274,361429,356220,354471,357968,366358,376532,383839,387650,387964,387964,387650,385937,382440,375763,370519,373700,384189,394642,401949,408941,419429,424709,421247.0,410759.0,400271.0,396425.0,396607.0,407136.0,407967.0,411633.0,411333.0,424667.0,436300.0,441600.0,438233.0,436267.0,432300.0,430667.0
39,394862,39,"Milwaukee, WI",Msa,WI,216267.0,217933.0,226267.0,238200.0,249567.0,256233.0,257967.0,254933.0,248300,242967,236300,232633,231267,234300,237933,237967,237467,237500,239133,239933,236567,231600,226467,221500,219800,221600,231567,241567,251567,256600,259967,256633,249967.0,242633.0,236000.0,230967.0,224933.0,221600.0,223133.0,228133.0,236300.0,236433.0,229800.0,218300.0,211667.0,207633.0,204267.0,200600.0
40,394714,40,"Jacksonville, FL",Msa,FL,300967.0,304933.0,309967.0,314633.0,316580.0,316547.0,313214.0,307966.0,302666,298000,296167,296000,296000,297500,299667,304667,311667,314167,311078,304408,299908,299630,299300,298630,298647,301977,306313,307327,309330,312330,317967,319300,317967.0,314997.0,310297.0,308427.0,308427.0,312427.0,318293.0,327960.0,338993.0,346663.0,350000.0,351663.0,355327.0,360327.0,363663.0,366333.0
